label,message
ham,As I entered the house I turned on all the lights and sat on the sofa
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,Thanks for the invite but I already have plans with the family.
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,"Sure, let me know when you're free to talk this week."
ham,"Package arrived safely, thank you so much for sending it."
ham,I've been searching for the right words to thank you for this breather.
ham,Are we still meeting for lunch tomorrow at that Italian place?
ham,Ok lar... Joking wif u oni...
ham,Not feeling great today. Going to work from home if that's ok.
ham,Thanks for the invite but I already have plans with the family.
ham,Did you watch the match last night? What a game! We won!
ham,I've got a spare ticket for the concert if you want to come?
ham,Are we still meeting for lunch tomorrow at that Italian place?
ham,Sounds like a great plan! Really looking forward to it.
ham,Not feeling great today. Going to work from home if that's ok.
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,"Sorry I missed your call, was in a meeting all afternoon."
spam,"URGENT! Your mobile was awarded a £2,000 prize on this week's prize draw! Tap here to claim: bit.ly/claim2000 18+ only."
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,Not feeling great today. Going to work from home if that's ok.
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,I'm still at the library studying. Home around 6 for dinner.
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,No worries at all! See you tomorrow bright and early.
ham,Ok lar... Joking wif u oni...
ham,Just arrived at Heathrow. Where are you parked?
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,As I entered the house I turned on all the lights and sat on the sofa
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,What time do you want to meet up tomorrow at the gym?
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,That's so funny I literally can't stop laughing lol
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,No worries at all! See you tomorrow bright and early.
ham,I've got a spare ticket for the concert if you want to come?
ham,"Package arrived safely, thank you so much for sending it."
ham,"Sure, let me know when you're free to talk this week."
spam,Sunshine Quiz! Win a super prize guaranteed. Question: what colour is the sky? Text SKY to 88600. 1.50 per msg
ham,I just got back from the gym. So tired but feel great!
ham,Thanks for the invite but I already have plans with the family.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net"
ham,Fine if that's the way u feel. That's the way its gota b
ham,No worries at all! See you tomorrow bright and early.
ham,Not feeling great today. Going to work from home if that's ok.
ham,Can you send me the quarterly report by end of day? Thanks
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,What time do you want to meet up tomorrow at the gym?
spam,NEW SEXY CHAT: Talk to gorgeous girls and guys! Call 0909 120 0440. Charged at 150ppm. Must be 18+ T&Cs apply.
ham,Just checking in to see how you're getting on with the project.
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,Just checking in to see how you're getting on with the project.
spam,Sunshine Quiz! Win a super prize guaranteed. Question: what colour is the sky? Text SKY to 88600. 1.50 per msg
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,Did you catch the bus? Or are you still at home waiting for me?
spam,Free entry in 2 a weekly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question
ham,Is that seriously how you spell his name?
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,"Sure, let me know when you're free to talk this week."
ham,How was your weekend? Did you end up going to that festival?
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,"Sure, let me know when you're free to talk this week."
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,I've been searching for the right words to thank you for this breather.
spam,Free entry in 2 a weekly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,"Let me know when you've arrived safely, just to put my mind at rest."
ham,Flight landed early. See you at arrivals in 20 mins.
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,Just sent you the email with all the documents attached.
ham,Ok lar... Joking wif u oni...
ham,Fine if that's the way u feel. That's the way its gota b
ham,I've been searching for the right words to thank you for this breather.
ham,Working late tonight so probably won't be back until 9.
ham,As I entered the house I turned on all the lights and sat on the sofa
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
spam,You have an important customer service announcement. Call freephone 0800 542 0825 NOW. Or ignore this message at your peril
ham,That's so funny I literally can't stop laughing lol
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,"Sure, let me know when you're free to talk this week."
ham,I've got a spare ticket for the concert if you want to come?
ham,Sounds like a great plan! Really looking forward to it.
ham,Ok lar... Joking wif u oni...
ham,How was your weekend? Did you end up going to that festival?
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,No worries at all! See you tomorrow bright and early.
ham,"Sure, let me know when you're free to talk this week."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Sounds like a great plan! Really looking forward to it.
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,"Package arrived safely, thank you so much for sending it."
ham,Can you pick up some milk on the way home? We're completely out.
ham,"Finally finished that book you recommended. You were right, it was brilliant."
ham,"Sure, let me know when you're free to talk this week."
ham,"Let me know when you've arrived safely, just to put my mind at rest."
ham,That's so funny I literally can't stop laughing lol
ham,Can you pick up some milk on the way home? We're completely out.
ham,That's so funny I literally can't stop laughing lol
ham,Just checking in to see how you're getting on with the project.
ham,What time do you want to meet up tomorrow at the gym?
ham,Can you call me when you get a chance? Need to talk.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Can you help me move some furniture this Saturday? Won't take long.
spam,NEW SEXY CHAT: Talk to gorgeous girls and guys! Call 0909 120 0440. Charged at 150ppm. Must be 18+ T&Cs apply.
ham,Can you send me the quarterly report by end of day? Thanks
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,I've got a spare ticket for the concert if you want to come?
ham,Can you call me when you get a chance? Need to talk.
ham,Can you pick up some milk on the way home? We're completely out.
ham,Ok lar... Joking wif u oni...
ham,Can you call me when you get a chance? Need to talk.
ham,Thanks for the invite but I already have plans with the family.
spam,Free ringtone! Simply text CHAT to 86688 to receive 3 ringtones to your handset. Std rate applies. 3 msgs@150p. STOP STOP 18+ only.
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,What time do you want to meet up tomorrow at the gym?
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,I'm still at the library studying. Home around 6 for dinner.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Flight landed early. See you at arrivals in 20 mins.
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,How was your weekend? Did you end up going to that festival?
ham,Not feeling great today. Going to work from home if that's ok.
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,"Finally finished that book you recommended. You were right, it was brilliant."
spam,NEW SEXY CHAT: Talk to gorgeous girls and guys! Call 0909 120 0440. Charged at 150ppm. Must be 18+ Valid today only!
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Let me know when you've arrived safely, just to put my mind at rest."
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,Did you watch the match last night? What a game! We won!
spam,"You've been selected for a £500 Tesco gift card reward! To claim your prize, please call 09050000327 before 12pm tomorrow."
ham,Did you watch the match last night? What a game! We won!
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,Are we still meeting for lunch tomorrow at that Italian place?
ham,Just had the best coffee at this new cafe near the office.
ham,Can you send me the quarterly report by end of day? Thanks
ham,Is that seriously how you spell his name?
spam,"You've been selected for a £500 Tesco gift card reward! To claim your prize, please call 09050000327 before 12pm tomorrow. Valid today only!"
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Fine if that's the way u feel. That's the way its gota b
ham,Ok lar... Joking wif u oni...
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Thanks for the invite but I already have plans with the family.
spam,Tones and graphics 4 ur mobile. 10p/msg wap.lwm.co.uk to see all Ó£1 to play. STOP? Text STOP to 62468. Customer service 0845 601 0790
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,WINNER!! As a valued network customer you have been selected 2 receivea £900 prize reward! To claim call 09061701461
ham,Sounds like a great plan! Really looking forward to it.
ham,Just had the best coffee at this new cafe near the office.
spam,WIN £1000 cash or a Sony DVD player! Click www.wintextprice.com to enter competition via the web. T&Cs apply. 18+.
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,Just arrived at Heathrow. Where are you parked?
ham,As I entered the house I turned on all the lights and sat on the sofa
ham,Working late tonight so probably won't be back until 9.
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,No worries at all! See you tomorrow bright and early.
ham,I've got a spare ticket for the concert if you want to come?
ham,Flight landed early. See you at arrivals in 20 mins.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,That's so funny I literally can't stop laughing lol
ham,What time do you want to meet up tomorrow at the gym?
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Just sent you the email with all the documents attached.
ham,Did you watch the match last night? What a game! We won!
ham,I'm still at the library studying. Home around 6 for dinner.
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,What time do you want to meet up tomorrow at the gym?
ham,No worries at all! See you tomorrow bright and early.
ham,Sounds like a great plan! Really looking forward to it.
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Can you help me move some furniture this Saturday? Won't take long.
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Sounds like a great plan! Really looking forward to it.
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,Not feeling great today. Going to work from home if that's ok.
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,Is that seriously how you spell his name?
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,Thanks for the invite but I already have plans with the family.
ham,No worries at all! See you tomorrow bright and early.
ham,Can you call me when you get a chance? Need to talk.
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,I just got back from the gym. So tired but feel great!
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min18+ Valid today only!
ham,"Finally finished that book you recommended. You were right, it was brilliant."
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,Can you send me the quarterly report by end of day? Thanks
ham,Just arrived at Heathrow. Where are you parked?
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,Not feeling great today. Going to work from home if that's ok.
ham,Thanks for the invite but I already have plans with the family.
ham,Can you call me when you get a chance? Need to talk.
ham,Is that seriously how you spell his name?
ham,Can you call me when you get a chance? Need to talk.
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,I've got a spare ticket for the concert if you want to come?
ham,Is that seriously how you spell his name?
ham,I've been searching for the right words to thank you for this breather.
ham,How was your weekend? Did you end up going to that festival?
ham,Working late tonight so probably won't be back until 9.
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Are we still meeting for lunch tomorrow at that Italian place?
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,Can you call me when you get a chance? Need to talk.
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Can you send me the quarterly report by end of day? Thanks
ham,Can you pick up some milk on the way home? We're completely out.
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,I just got back from the gym. So tired but feel great!
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,Just had the best coffee at this new cafe near the office.
ham,"Sorry I missed your call, was in a meeting all afternoon."
spam,Congratulations ur awarded 500 of bonus points. call customer service 09061743810 Pobox279BRISTOL18WX
spam,Had your mobile 11 months or more? U R entitled to update to the latest colour mobiles with camera for free! Call The Mobile Update Co FREE on 08002986030 T&Cs apply.
ham,I'm still at the library studying. Home around 6 for dinner.
ham,Is that seriously how you spell his name?
ham,Can you send me the quarterly report by end of day? Thanks
spam,Congratulations ur awarded 500 of bonus points. call customer service 09061743810 Pobox279BRISTOL18WX
ham,Can you send me the quarterly report by end of day? Thanks
ham,I've been searching for the right words to thank you for this breather.
ham,Ok lar... Joking wif u oni...
ham,I've been searching for the right words to thank you for this breather.
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
spam,Had your mobile 11 months or more? U R entitled to update to the latest colour mobiles with camera for free! Call The Mobile Update Co FREE on 08002986030
ham,"Sure, let me know when you're free to talk this week."
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,"Package arrived safely, thank you so much for sending it."
spam,NEW SEXY CHAT: Talk to gorgeous girls and guys! Call 0909 120 0440. Charged at 150ppm. Must be 18+
spam,Your loan of up to £500 is pre-approved. No credit check needed. Reply YES to activate or call 0845 519 2903
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,The kids absolutely loved the film. Thanks for the recommendation!
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566 Valid today only!
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,Dinner tonight at 7? Let me know if that still works for you.
ham,Can you send me the quarterly report by end of day? Thanks
ham,Hey! How are you doing? Haven't heard from you in a while.
spam,"Todays Voda numbers ending 7876 are selected 2 receive a £350 award. If you feel this is not 4 U, dial 150 Freephone 0800 542 0825 18+ only."
ham,Fine if that's the way u feel. That's the way its gota b
ham,"Package arrived safely, thank you so much for sending it."
ham,Not feeling great today. Going to work from home if that's ok.
ham,No worries at all! See you tomorrow bright and early.
spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 5/9/03 This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
ham,I just got back from the gym. So tired but feel great!
ham,I'm still at the library studying. Home around 6 for dinner.
ham,Are we still meeting for lunch tomorrow at that Italian place?
spam,CONGRATULATIONS! Nokia 3650 video camera phone is your prize! Reply or call 08718726978 to claim!
ham,Did you watch the match last night? What a game! We won!
spam,Had your mobile 11 months or more? U R entitled to update to the latest colour mobiles with camera for free! Call The Mobile Update Co FREE on 08002986030
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,Fine if that's the way u feel. That's the way its gota b
ham,I've been searching for the right words to thank you for this breather.
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,What time do you want to meet up tomorrow at the gym?
spam,GET 50 FREE TEXT MSGS for life or £100 cash! Just call FREE 0800 298 8032. T&Cs apply
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,Just had the best coffee at this new cafe near the office.
ham,I finished the coding assignment. Can we review it together tomorrow?
spam,You have an important customer service announcement. Call freephone 0800 542 0825 NOW. Or ignore this message at your peril T&Cs apply.
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
spam,CLAIM YOUR FREE PRIZE! You have been randomly selected to win a Sony PlayStation 5. Call 0906 472 1234 to claim
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,Flight landed early. See you at arrivals in 20 mins.
ham,Ok lar... Joking wif u oni...
ham,Did you watch the match last night? What a game! We won!
ham,Can you help me move some furniture this Saturday? Won't take long.
spam,"DOUBLE MINUTES DOUBLE TEXTS for 3 months for FREE from Orange today, call Mobile Upgrades FREE on 0800 073 5995 to get upgrade"
ham,Can you pick up some milk on the way home? We're completely out.
ham,Did you watch the match last night? What a game! We won!
ham,Working late tonight so probably won't be back until 9.
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566 T&Cs apply.
ham,"Package arrived safely, thank you so much for sending it."
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,I just got back from the gym. So tired but feel great!
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,No worries at all! See you tomorrow bright and early.
ham,I just got back from the gym. So tired but feel great!
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,I just got back from the gym. So tired but feel great!
ham,"Package arrived safely, thank you so much for sending it."
ham,Did you watch the match last night? What a game! We won!
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,Can you help me move some furniture this Saturday? Won't take long.
ham,Just had the best coffee at this new cafe near the office.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,Can you send me the quarterly report by end of day? Thanks
ham,Did you watch the match last night? What a game! We won!
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
spam,Congratulations ur awarded 500 of bonus points. call customer service 09061743810 Pobox279BRISTOL18WX
ham,Can you call me when you get a chance? Need to talk.
ham,"Sure, let me know when you're free to talk this week."
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,Just arrived at Heathrow. Where are you parked?
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,Just sent you the email with all the documents attached.
ham,Can you help me move some furniture this Saturday? Won't take long.
ham,Just arrived at Heathrow. Where are you parked?
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,I've got a spare ticket for the concert if you want to come?
ham,Can you call me when you get a chance? Need to talk.
ham,Just checking in to see how you're getting on with the project.
ham,Can you help me move some furniture this Saturday? Won't take long.
spam,"DOUBLE MINUTES DOUBLE TEXTS for 3 months for FREE from Orange today, call Mobile Upgrades FREE on 0800 073 5995 to get upgrade Reply STOP to opt out."
ham,I just got back from the gym. So tired but feel great!
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
spam,Sunshine Quiz! Win a super prize guaranteed. Question: what colour is the sky? Text SKY to 88600. 1.50 per msg
ham,"Sorry I missed your call, was in a meeting all afternoon."
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Package arrived safely, thank you so much for sending it."
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
spam,CONGRATULATIONS! Nokia 3650 video camera phone is your prize! Reply or call 08718726978 to claim!
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,Can you send me the quarterly report by end of day? Thanks
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,Flight landed early. See you at arrivals in 20 mins.
ham,Can you help me move some furniture this Saturday? Won't take long.
spam,Urgent! call 09066358361 NOW! Find out how to claim 2 free airline tickets worth £1500. Wkly comp for 150 tkts 18+. 75p/call 18+ only.
ham,No worries at all! See you tomorrow bright and early.
ham,I've got a spare ticket for the concert if you want to come?
ham,"Running a bit late, traffic is terrible. Be there in 10 mins."
ham,How was your weekend? Did you end up going to that festival?
ham,That's so funny I literally can't stop laughing lol
ham,Just arrived at Heathrow. Where are you parked?
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,Working late tonight so probably won't be back until 9.
ham,Just arrived at Heathrow. Where are you parked?
spam,"You've been selected for a £500 Tesco gift card reward! To claim your prize, please call 09050000327 before 12pm tomorrow."
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,I've been searching for the right words to thank you for this breather.
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm Valid today only!
ham,Did you watch the match last night? What a game! We won!
ham,I'm still at the library studying. Home around 6 for dinner.
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,"Sure, let me know when you're free to talk this week."
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,That's so funny I literally can't stop laughing lol
ham,"Finally finished that book you recommended. You were right, it was brilliant."
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,Ok lar... Joking wif u oni...
ham,The meeting has been moved to Thursday at 3pm in the boardroom.
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,I'll be at the station in 5 minutes. Can you wait by the entrance?
ham,Sounds like a great plan! Really looking forward to it.
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
spam,WINNER!! As a valued network customer you have been selected 2 receivea £900 prize reward! To claim call 09061701461
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/½hour proof id@gmail"
ham,Just sent you the email with all the documents attached.
ham,"Let me know when you've arrived safely, just to put my mind at rest."
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
spam,NEW SEXY CHAT: Talk to gorgeous girls and guys! Call 0909 120 0440. Charged at 150ppm. Must be 18+
ham,"Sure, let me know when you're free to talk this week."
ham,As I entered the house I turned on all the lights and sat on the sofa
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,That's so funny I literally can't stop laughing lol
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,Is that seriously how you spell his name?
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,Fine if that's the way u feel. That's the way its gota b
ham,Ok lar... Joking wif u oni...
ham,"Package arrived safely, thank you so much for sending it."
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,Just had the best coffee at this new cafe near the office.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,I finished the coding assignment. Can we review it together tomorrow?
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min18+ Reply STOP to opt out.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net"
ham,Just arrived at Heathrow. Where are you parked?
ham,Can you pick up some milk on the way home? We're completely out.
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,I've got a spare ticket for the concert if you want to come?
ham,Just sent you the email with all the documents attached.
ham,Weather is gorgeous today! Fancy a quick walk at lunch?
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,Did you watch the match last night? What a game! We won!
ham,Are you coming to the leaving party on Friday? Should be a good night.
ham,No worries at all! See you tomorrow bright and early.
